,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
탄천중학교,충청남도 공주시 탄천면 통산로 168,36.3304539513242,127.031992170541,041-853-5170,32명,8명,24명,http://tc.sc.kr,일반계 
공주정명학교,충청남도 공주시 장척로 116-14,36.4849458889836,127.178731961857,041-857-2062,74명,0명,0명,http://www.gjm.cnesc.kr,일반계 
공주대학교사범대학부설중학교,충청남도 공주시 봉황로 75,36.4527666531354,127.119790726428,041-851-4100,171명,87명,84명,http://kongju-m.cnems.kr,일반계 
목천중학교,충청남도 천안시 동남구 목천읍 삼방로 145,36.7828352755049,127.23188960691,041-559-1653,180명,95명,85명,http://mokchon-m.caems.kr,일반계 
충청남도 장평중학교,서울특별시 동대문구 답십리로72길 158,37.5668596067189,127.070477570556,02-2243-8282,726명,332명,394명,http://jangpyung.sen.ms.kr,일반계 
석성중학교,충청남도 부여군 석성면 증산로 7,36.2492391772907,126.99773707183,041-836-6085,64명,33명,31명,http://suksung.cnems.kr,일반계 
충청남도 양화중학교,서울특별시 영등포구 당산로 56,37.5195479164417,126.895940834494,02-2633-9284,631명,316명,315명,http://yangwha.sen.ms.kr,일반계 
쌘뽈여자중학교,충청남도 논산시 시민로 411,36.2004486050429,127.08588538671,041-735-2508,376명,0명,376명,http://www.sp.cnems.kr,일반계 
충남드론항공고등학교,충청남도 홍성군 광천읍 홍남로 695,36.5050789816962,126.627795075957,041-641-0602,180명,128명,52명,http://www.cda.cnehs.kr,상업계  | 일반계 
충남해양과학고등학교,충청남도 보령시 대천항로 212,36.3184930688716,126.514119894237,041-931-3471,232명,225명,7명,http://www.marine.cnehs.kr,수산해양계 
봉황중학교,충청남도 공주시 금벽로 301,36.4754600949987,127.122726129065,041-854-2771,337명,337명,0명,http://bonghwang.cnems.kr,일반계 
천안새샘중학교,충청남도 천안시 동남구 통정6로 49,36.7762509506907,127.137807297477,041-592-3095,978명,490명,488명,http://css.caems.kr,일반계 
천안봉서중학교,충청남도 천안시 서북구 미라1길 48,36.8068200528536,127.129464029491,041-571-3851,336명,154명,182명,http://www.cabs.caems.kr,일반계 
공주영명중학교,충청남도 공주시 영명학당2길 33,36.451960197576,127.127872459007,041-858-0325,141명,141명,0명,http://kjym.cnems.kr,일반계 
나사렛새꿈학교,충청남도 천안시 서북구 월봉로 48,36.7983475274385,127.119477919956,041-579-1295,127명,0명,0명,http://www.ns.caesc.kr/main.do,일반계 
강경상업고등학교,충청남도 논산시 강경읍 계백로 220,36.1614244493099,127.023297952757,041-745-2313,254명,149명,105명,http://www.gangsang.cnehs.kr,상업계  | 상업계  | 일반계 
성환고등학교,충청남도 천안시 서북구 성환읍 신방로 354,36.9238786001019,127.115519309215,041-588-2001,326명,124명,202명,http://shhs.caehs.kr,가사실업계  | 상업계  | 일반계 
정안중학교,충청남도 공주시 정안면 정안중앙길 89-6,36.6038533467666,127.117129924386,041-961-6022,53명,30명,23명,http://www.jungan.cnems.kr/main.do,일반계 
삽교고등학교,충청남도 예산군 삽교읍 삽교로 161,36.6880313839863,126.747263980356,041-337-2892,320명,219명,101명,http://sapgyo.cnehs.kr,상업계  | 일반계 
충청남도 인주중학교,인천광역시 미추홀구 매소홀로 335,37.4428059701344,126.660135419046,032-863-9314,943명,487명,456명,http://inju.icems.kr,일반계 
공주여자고등학교,충청남도 공주시 공주여고길 14-1,36.4400436875906,127.120274848033,041-855-1222,425명,0명,425명,http://www.gongju-gh.cnehs.kr,일반계 
충청남도 연서중학교,서울특별시 은평구 증산서길 125-6,37.5870193121654,126.909276587676,02-6715-8000,318명,164명,154명,http://yeonseo.sen.ms.kr,일반계 
당진고등학교,충청남도 당진시 백암로 219-20,36.8918142397518,126.624263675161,041-351-2750,744명,318명,426명,http://dangjin.cnehs.kr,일반계  | 직업 
충남인터넷고등학교,충청남도 논산시 연산면 계백로 1958-16,36.2066365005049,127.189308583515,041-736-6542,140명,71명,69명,http://www.cihs.cnehs.kr/,상업계 
대흥고등학교,충청남도 예산군 대흥면 예당로 845,36.605486561109,126.791605589418,041-332-0013,141명,70명,71명,http://daeheung.cnehs.kr,일반계 
영인중학교,충청남도 아산시 영인면 아산온천로3번길 17,36.8549590592724,126.961583287404,041-542-5006,58명,34명,24명,http://yeongin.cnems.kr,일반계 
공주정보고등학교,충청남도 공주시 마근동길 29,36.4855728340313,127.15748961169,041-856-1674,206명,111명,95명,http://kjis.cnehs.kr,상업계 
충청남도 연무중학교,경기도 수원시 영통구 센트럴타운로100번길 30,37.292901407402,127.05188211979,031-216-2982,1019명,498명,521명,https://suwonym-m.goesw.kr,일반계 
천안여자고등학교,충청남도 천안시 동남구 삼룡3길 30,36.778716600491,127.169280963976,041-559-9300,899명,0명,899명,http://www.cag.caehs.kr,일반계 
환서중학교,충청남도 천안시 서북구 한들3로 50,36.8286747114814,127.12443667105,041-412-7000,816명,395명,421명,http://hwanseo.caems.kr,일반계 
충청남도 고덕중학교,서울특별시 강동구 동남로82길 94,37.5603666099645,127.161643516832,02-2045-6000,1278명,736명,542명,http://godeok.sen.ms.kr,일반계 
서해삼육중학교,충청남도 홍성군 광천읍 홍남로705번길 23,36.5065521111372,126.627050169689,041-641-0937,89명,36명,53명,http://seohae36.cnems.kr,일반계 
천안동중학교,충청남도 천안시 동남구 충절로 363-11,36.7888033569594,127.166825259834,041-413-3910-3915,618명,330명,288명,http://cheonandong.caems.kr,일반계 
충청남도 한산중학교,서울특별시 강동구 풍성로 251,37.5289027355132,127.140303398101,02-474-4903,317명,163명,154명,http://hansan.sen.ms.kr,일반계 
금산중학교,충청남도 금산군 금산읍 탑선길 5,36.1063031298017,127.49435806845,041-753-7152,283명,283명,0명,http://kumsanm.cnems.kr,일반계 
천남중학교,충청남도 천안시 동남구 성남면 신사대화로 403,36.7307228106001,127.261106053644,041-553-0843,57명,32명,25명,http://cheonnam.caems.kr,일반계 
대철중학교,충청남도 서산시 운산면 해운로 1111,36.8046345093211,126.578270912643,041-669-2868,83명,49명,34명,http://daecheol.cnems.kr,일반계 
합덕여자중학교,충청남도 당진시 합덕읍 면천로 1583,36.8133974573314,126.760299447993,041-360-5886,70명,0명,70명,http://www.hapduk-g.cnems.kr,일반계 
경천중학교,충청남도 공주시 계룡면 어사길 2,36.3251966801117,127.152456297468,041-852-4043,47명,23명,24명,http://kyongchon.cnems.kr,일반계 
대천여자상업고등학교,충청남도 보령시 여상길 60,36.3321572656468,126.579488030938,041-931-6853,272명,0명,272명,http://dcg.cnehs.kr,상업계 
북일고등학교,충청남도 천안시 동남구 단대로 69,36.832001056843,127.158585379816,041-520-8608,926명,926명,0명,http://www.bugil.hs.kr,일반계 
홍주고등학교,충청남도 홍성군 홍성읍 문화로 78,36.5927792950641,126.662591570724,041-632-3886,577명,397명,180명,http://hongju.cnehs.kr,일반계 
천안성정중학교,충청남도 천안시 서북구 성정중2길 40,36.8297247698473,127.136274735682,041-552-0755,831명,427명,404명,http://www.sungjung.caems.kr,일반계 
서령고등학교,충청남도 서산시 서령로 117-1,36.7948003885821,126.45816554453,041-661-8620,722명,722명,0명,http://seoryeong.cnehs.kr,일반계 
충청남도 반포중학교,서울특별시 서초구 신반포로 67,37.5030523682879,126.991603997827,02-599-2304,434명,434명,0명,http://banpo.sen.ms.kr,일반계 
충남삼성고등학교,충청남도 아산시 탕정면 삼성로 77,36.8065305372058,127.057239797883,041-339-3000,1078명,467명,611명,http://www.cnsa.hs.kr/,일반계 
천안쌍용중학교,충청남도 천안시 서북구 쌍용12길 13,36.8036605479167,127.119951883239,041-576-7362,1101명,535명,566명,http://www.ssangyong.caems.kr,일반계 
비인중학교,충청남도 서천군 비인면 비인로 142,36.1396693823323,126.606262679566,041-952-8082,21명,10명,11명,http://www.biin-m.cnems.kr,일반계 
추부중학교,충청남도 금산군 추부면 마전2길 21,36.1927274851641,127.46850187864,041-753-7003,139명,81명,58명,http://chubu.cnems.kr,일반계 
합덕제철고등학교,충청남도 당진시 합덕읍 면천로 1601,36.8133825004723,126.762410692777,041-362-2793,246명,246명,0명,http://steel.cnehs.kr,공업계  | 농업계 
금산여자중학교,충청남도 금산군 금산읍 인삼로 11,36.10574040723,127.483002892643,041-753-6143,280명,0명,280명,http://geumsan-g.cnems.kr,일반계 
한국K-POP고등학교,충청남도 홍성군 광천읍 광천로373번길 14,36.5079319160152,126.621913532554,041-641-6433,118명,63명,55명,http://k-pophs.cnehs.kr,디자인·문화콘텐츠  | 일반계 
건양대학교병설건양고등학교,충청남도 논산시 양촌면 황산벌로 486-21,36.1415576429175,127.234340316634,041-741-2101,237명,124명,113명,http://konyang.cnehs.kr,일반계 
서야중학교,충청남도 당진시 합덕읍 덕평로 335-1,36.790918407541,126.787436102028,041-363-0712,104명,57명,47명,http://seoya.cnems.kr,일반계 
성연중학교,충청남도 서산시 성연면 성연로 210-4,36.8369289868462,126.461789487613,041-662-8051,403명,197명,206명,http://www.seongyeon.cnems.kr,일반계 
안면중학교,충청남도 태안군 안면읍 조운막터길 43,36.5092186347172,126.354080273801,041-674-3092,159명,85명,74명,http://www.anmyeon.cnems.kr,일반계 
충청남도 대명중학교,서울특별시 강남구 역삼로87길 26,37.5063189430786,127.060778124521,02-563-3701,1002명,518명,484명,http://daemyeong.sen.ms.kr,일반계 
연무대기계공업고등학교,충청남도 논산시 연무읍 연무로 268-9,36.1258206266861,127.10688293493,041-742-7302,225명,225명,0명,http://yeonmutech.cnehs.kr,공업계 
대천고등학교,충청남도 보령시 대고로 58,36.3658064285332,126.604956616748,041-931-4362,485명,485명,0명,http://daechon.cnehs.kr,일반계 
사곡중학교,충청남도 공주시 사곡면 마곡사로 293-106,36.5261863176645,127.031079737058,041-841-5208,35명,18명,17명,http://sagok.cnems.kr,일반계 
천안늘해랑학교,충청남도 천안시 동남구 병천면 유관순길 86,36.7595993750144,127.312972245851,041-417-2500,83명,0명,0명,http://neulhaerang.caesc.kr/main.do,일반계 
대산고등학교,충청남도 서산시 대산읍 대산1로 36,36.9362551936182,126.438309621877,041-669-8731,451명,206명,245명,http://daesan.cnehs.kr,일반계 
예산고등학교,충청남도 예산군 예산읍 예산로 101,36.6798990293466,126.837483661157,041-335-2512,549명,549명,0명,http://yesan.cnehs.kr,일반계 
서천여자고등학교,충청남도 서천군 서천읍 군청로 84,36.081394575552,126.693820027329,041-950-7000,218명,0명,218명,http://www.seocheon-gl.cnehs.kr/,일반계 
온양여자고등학교,충청남도 아산시 온여고길21번길 24,36.7784483369352,127.013570068772,041-538-6000,963명,0명,963명,http://www.onyang.cnehs.kr,상업계  | 일반계 
입장중학교,충청남도 천안시 서북구 입장면 연곡길 36,36.9206312042132,127.218042446584,041-585-5021,139명,72명,67명,http://ipjang.caems.kr,일반계 
부석중학교,충청남도 서산시 부석면 무학로 1034,36.7091654765796,126.393777513281,041-669-0292,57명,22명,35명,http://buseok.cnems.kr,일반계 
홍성여자중학교부설방송통신중학교,충청남도 홍성군 홍성읍 도청대로 29-21,36.6072288905485,126.660124539158,041-632-2629,152명,26명,126명,http://honggs.cnems.kr,일반계 
천안제일고등학교,충청남도 천안시 동남구 버들로 71,36.8086340397774,127.153298385034,041-551-3056,440명,287명,153명,http://www.cj.caehs.kr,농업계  | 일반계 
금산동중학교,충청남도 금산군 금산읍 용머리길 25,36.106295969037,127.481084667318,041-753-7106,296명,157명,139명,http://gsd.cnems.kr,일반계 
충청남도 성남중학교,서울특별시 동작구 대방동길 74,37.5052815748623,126.926615278225,02-815-1332,608명,608명,0명,http://sungnam.sen.ms.kr,일반계 
충청남도 덕산고등학교,경기도 부천시 오정로266번길 69,37.5307917903283,126.789920196298,070-7094-1508,580명,311명,269명,http://www.duksan-h.hs.kr,상업계  | 일반계 
